Smith T.R.F., Patel A., Ramos S., Elwood D., Zhu X., Yan J., Gary E.N., Walker S.N., Schultheis K., Purwar M., Xu Z., Walters J., Bhojnagarwala P., Yang M., Chokkalingam N., Pezzoli P., Parzych E., Reuschel E.L., Doan A., Tursi N., Vasquez M., Choi J., Tello-Ruiz E., Maricic I., Bah M.A., Wu Y., Amante D., Park D.H., Dia Y., Ali A.R., Zaidi F.I., Generotti A., Kim K.Y., Herring T.A., Reeder S., Andrade V.M., Buttigieg K., Zhao G., Wu J.-M., Li D., Bao L., Liu J., Deng W., Qin C., Brown A.S., Khoshnejad M., Wang N., Chu J., Wrapp D., McLellan J.S., Muthumani K., Wang B., Carroll M.W., Kim J.J., Boyer J., Kulp D.W., Humeau L.M.P.F., Weiner D.B., Broderick K.E.,	Smith T.R.F., Patel A., Ramos S., Elwood D., Zhu X., Yan J., Gary E.N., Walker S.N., Schultheis K., Purwar M., Xu Z., Walters J., Bhojnagarwala P., Yang M., Chokkalingam N., Pezzoli P., Parzych E., Reuschel E.L., Doan A., Tursi N., Vasquez M., Choi J., Tello-Ruiz E., Maricic I., Bah M.A., Wu Y., Amante D., Park D.H., Dia Y., Ali A.R., Zaidi F.I., Generotti A., Kim K.Y., Herring T.A., Reeder S., Andrade V.M., Buttigieg K., Zhao G., Wu J.-M., Li D., Bao L., Liu J., Deng W., Qin C., Brown A.S., Khoshnejad M., Wang N., Chu J., Wrapp D., McLellan J.S., Muthumani K., Wang B., Carroll M.W., Kim J.J., Boyer J., Kulp D.W., Humeau L.M.P.F., Weiner D.B., Broderick K.E.
Poh C.M., Carissimo G., Wang B., Amrun S.N., Lee C.Y.-P., Chee R.S.-L., Fong S.-W., Yeo N.K.-W., Lee W.-H., Torres-Ruesta A., Leo Y.-S., Chen M.I.-C., Tan S.-Y., Chai L.Y.A., Kalimuddin S., Kheng S.S.G., Thien S.-Y., Young B.E., Lye D.C., Hanson B.J., Wang C.-I., Renia L., Ng L.F.P.,	Poh C.M., Carissimo G., Wang B., Amrun S.N., Lee C.Y.-P., Chee R.S.-L., Fong S.-W., Yeo N.K.-W., Lee W.-H., Torres-Ruesta A., Leo Y.-S., Chen M.I.-C., Tan S.-Y., Chai L.Y.A., Kalimuddin S., Kheng S.S.G., Thien S.-Y., Young B.E., Lye D.C., Hanson B.J., Wang C.-I., Renia L., Ng L.F.P.
Yongchen Z., Shen H., Wang X., Shi X., Li Y., Yan J., Chen Y., Gu B.,	Yongchen Z., Shen H., Wang X., Shi X., Li Y., Yan J., Chen Y., Gu B.
Vieira A.L.S., Pazeli Júnior J.M., Bastos M.G.,	Vieira A.L.S., Pazeli Júnior J.M., Bastos M.G.
Mukherjee R.,	Mukherjee R.
Parra-Izquierdo V., Flórez-Sarmiento C., Romero-Sánchez C.,	Parra-Izquierdo V., Flórez-Sarmiento C., Romero-Sánchez C.
Ou X., Liu Y., Lei X., Li P., Mi D., Ren L., Guo L., Guo R., Chen T., Hu J., Xiang Z., Mu Z., Chen X., Chen J., Hu K., Jin Q., Wang J., Qian Z.,	Ou X., Liu Y., Lei X., Li P., Mi D., Ren L., Guo L., Guo R., Chen T., Hu J., Xiang Z., Mu Z., Chen X., Chen J., Hu K., Jin Q., Wang J., Qian Z.
Juliao-Baños F.,	Juliao-Baños F.
Catanzaro M., Fagiani F., Racchi M., Corsini E., Govoni S., Lanni C.,	Catanzaro M., Fagiani F., Racchi M., Corsini E., Govoni S., Lanni C.
Gómez J.L., Aldana A.J.G., Mantilla M.L.T.,	Gómez J.L., Aldana A.J.G., Mantilla M.L.T.
Sun X., Ni Y., Zhang M.,	Sun X., Ni Y., Zhang M.
Chia P.Y., Coleman K.K., Tan Y.K., Ong S.W.X., Gum M., Lau S.K., Lim X.F., Lim A.S., Sutjipto S., Lee P.H., Son T.T., Young B.E., Milton D.K., Gray G.C., Schuster S., Barkham T., De P.P., Vasoo S., Chan M., Ang B.S.P., Tan B.H., Leo Y.-S., Ng O.-T., Wong M.S.Y., Marimuthu K., Lye D.C., Lim P.L., Lee C.C., Ling L.M., Lee L., Lee T.H., Wong C.S., Sadarangani S., Lin R.J., Ng D.H.L., Sadasiv M., Yeo T.W., Choy C.Y., Tan G.S.E., Dimatatac F., Santos I.F., Go C.J., Chan Y.K., Tay J.Y., Tan J.Y.-L., Pandit N., Ho B.C.H., Mendis S., Chen Y.Y.C., Abdad M.Y., Moses D., for the Singapore 2019 Novel Coronavirus Outbreak Research Team,	Chia P.Y., Coleman K.K., Tan Y.K., Ong S.W.X., Gum M., Lau S.K., Lim X.F., Lim A.S., Sutjipto S., Lee P.H., Son T.T., Young B.E., Milton D.K., Gray G.C., Schuster S., Barkham T., De P.P., Vasoo S., Chan M., Ang B.S.P., Tan B.H., Leo Y.-S., Ng O.-T., Wong M.S.Y., Marimuthu K., Lye D.C., Lim P.L., Lee C.C., Ling L.M., Lee L., Lee T.H., Wong C.S., Sadarangani S., Lin R.J., Ng D.H.L., Sadasiv M., Yeo T.W., Choy C.Y., Tan G.S.E., Dimatatac F., Santos I.F., Go C.J., Chan Y.K., Tay J.Y., Tan J.Y.-L., Pandit N., Ho B.C.H., Mendis S., Chen Y.Y.C., Abdad M.Y., Moses D., for the Singapore 2019 Novel Coronavirus Outbreak Research Team
Senapati S., Kumar S., Singh A.K., Banerjee P., Bhagavatula S.,	Senapati S., Kumar S., Singh A.K., Banerjee P., Bhagavatula S.
Angioni S.,	Angioni S.
Nuccetelli M., Pieri M., Grelli S., Ciotti M., Miano R., Andreoni M., Bernardini S.,	Nuccetelli M., Pieri M., Grelli S., Ciotti M., Miano R., Andreoni M., Bernardini S.
Egeru A., Dejene S.W., Siya A.,	Egeru A., Dejene S.W., Siya A.
Prieto R., Jaramillo G., Ballén H., Otero E., Delgado L., Rendón J., Casas F., Fragoso L., Rodríguez M.A.,	Prieto R., Jaramillo G., Ballén H., Otero E., Delgado L., Rendón J., Casas F., Fragoso L., Rodríguez M.A.
Ashraf B.N.,	Ashraf B.N.
Tovani-Palone M.R., Storari L., Barbari V.,	Tovani-Palone M.R., Storari L., Barbari V.
Ambrosio L., Vadalà G., Russo F., Papalia R., Denaro V.,	Ambrosio L., Vadalà G., Russo F., Papalia R., Denaro V.
Parra-Izquierdo V., Flórez-Sarmiento C., Del Risco F.G., Romero-Sánchez C.,	Parra-Izquierdo V., Flórez-Sarmiento C., Del Risco F.G., Romero-Sánchez C.
Tang Y., Wang S.,	Tang Y., Wang S.
Mengist H.M., Fan X., Jin T.,	Mengist H.M., Fan X., Jin T.
Ostaszewski M., Mazein A., Gillespie M.E., Kuperstein I., Niarakis A., Hermjakob H., Pico A.R., Willighagen E.L., Evelo C.T., Hasenauer J., Schreiber F., Dräger A., Demir E., Wolkenhauer O., Furlong L.I., Barillot E., Dopazo J., Orta-Resendiz A., Messina F., Valencia A., Funahashi A., Kitano H., Auffray C., Balling R., Schneider R.,	Ostaszewski M., Mazein A., Gillespie M.E., Kuperstein I., Niarakis A., Hermjakob H., Pico A.R., Willighagen E.L., Evelo C.T., Hasenauer J., Schreiber F., Dräger A., Demir E., Wolkenhauer O., Furlong L.I., Barillot E., Dopazo J., Orta-Resendiz A., Messina F., Valencia A., Funahashi A., Kitano H., Auffray C., Balling R., Schneider R.
Volpicelli G., Gargani L.,	Volpicelli G., Gargani L.
Liu X.-H., Lu S.-H., Chen J., Xia L., Yang Z.-G., Charles S., Yang Y., Lin Y., Lu H.-Z.,	Liu X.-H., Lu S.-H., Chen J., Xia L., Yang Z.-G., Charles S., Yang Y., Lin Y., Lu H.-Z.
Wen W., Su W., Tang H., Le W., Zhang X., Zheng Y., Liu X., Xie L., Li J., Ye J., Dong L., Cui X., Miao Y., Wang D., Dong J., Xiao C., Chen W., Wang H.,	Wen W., Su W., Tang H., Le W., Zhang X., Zheng Y., Liu X., Xie L., Li J., Ye J., Dong L., Cui X., Miao Y., Wang D., Dong J., Xiao C., Chen W., Wang H.
Sharquie I.K.,	Sharquie I.K.
Villarreal R., Cabrera L.F., Pedraza Ciro M., Cuervo J.E., Santos J.H., Jurado J.R.,	Villarreal R., Cabrera L.F., Pedraza Ciro M., Cuervo J.E., Santos J.H., Jurado J.R.
Musinguzi G., Asamoah B.O.,	Musinguzi G., Asamoah B.O.
Kaslow D.C.,	Kaslow D.C.
Wang H., Wang Z., Dong Y., Chang R., Xu C., Yu X., Zhang S., Tsamlag L., Shang M., Huang J., Wang Y., Xu G., Shen T., Zhang X., Cai Y.,	Wang H., Wang Z., Dong Y., Chang R., Xu C., Yu X., Zhang S., Tsamlag L., Shang M., Huang J., Wang Y., Xu G., Shen T., Zhang X., Cai Y.
Haggag Y.A., El-Ashmawy N.E., Okasha K.M.,	Haggag Y.A., El-Ashmawy N.E., Okasha K.M.
Lima M.E.D.S., Barros L.C.M., Aragão G.F.,	Lima M.E.D.S., Barros L.C.M., Aragão G.F.
Di Grezia M., Fransvea P., Santullo F., Tirelli F., Fico V., Mirco P., Cozza V., La Greca A., Sganga G.,	Di Grezia M., Fransvea P., Santullo F., Tirelli F., Fico V., Mirco P., Cozza V., La Greca A., Sganga G.
Caruso A.A., Del Prete A., Lazzarino A.I.,	Caruso A.A., Del Prete A., Lazzarino A.I.
Ali Z.A., El-Mallakh R.S.,	Ali Z.A., El-Mallakh R.S.
Azam S.A., Myers L., Fields B.K.K., Demirjian N.L., Patel D., Roberge E., Gholamrezanezhad A., Reddy S.,	Azam S.A., Myers L., Fields B.K.K., Demirjian N.L., Patel D., Roberge E., Gholamrezanezhad A., Reddy S.
Faiq M.A.,	Faiq M.A.
de Oliveira P.G., Termini L., Durigon E.L., Lepique A.P., Sposito A.C., Boccardo E.,	de Oliveira P.G., Termini L., Durigon E.L., Lepique A.P., Sposito A.C., Boccardo E.
Kumar A., Kubota Y., Chernov M., Kasuya H.,	Kumar A., Kubota Y., Chernov M., Kasuya H.
Lipsker D.,	Lipsker D.
MohammadSadeghi A., Karimzadeh I., Bagheri Lankarani K., Banakar M.,	MohammadSadeghi A., Karimzadeh I., Bagheri Lankarani K., Banakar M.
Dehghani Firouzabadi M., Dehghani Firouzabadi F., Goudarzi S., Jahandideh H., Roomiani M.,	Dehghani Firouzabadi M., Dehghani Firouzabadi F., Goudarzi S., Jahandideh H., Roomiani M.
Picard C., Le Pavec J., Tissot A., Groupe Transplantation Pulmonaire de la Societe de Pneumologie de Langue Francaise SPLF,	Picard C., Le Pavec J., Tissot A., Groupe Transplantation Pulmonaire de la Societe de Pneumologie de Langue Francaise SPLF
Bertoletti L., Couturaud F., Montani D., Parent F., Sanchez O., Circulation Pulmonaire et Interactions Coeur-Poumons group of the SPLF,	Bertoletti L., Couturaud F., Montani D., Parent F., Sanchez O., Circulation Pulmonaire et Interactions Coeur-Poumons group of the SPLF
Denis P.A.,	Denis P.A.
Donma M.M., Donma O.,	Donma M.M., Donma O.
Pani S.K., Lin N.-H., RavindraBabu S.,	Pani S.K., Lin N.-H., RavindraBabu S.
Monajjemi M., Shahriari S., Mollaamin F.,	Monajjemi M., Shahriari S., Mollaamin F.
Zoran M.A., Savastru R.S., Savastru D.M., Tautan M.N.,	Zoran M.A., Savastru R.S., Savastru D.M., Tautan M.N.
Drak Alsibai K.,	Drak Alsibai K.
Álvarez-Díaz D.A., Franco-Muñoz C., Laiton-Donato K., Usme-Ciro J.A., Franco-Sierra N.D., Flórez-Sánchez A.C., Gómez-Rangel S., Rodríguez-Calderon L.D., Barbosa-Ramirez J., Ospitia-Baez E., Walteros D.M., Ospina-Martinez M.L., Mercado-Reyes M.,	Álvarez-Díaz D.A., Franco-Muñoz C., Laiton-Donato K., Usme-Ciro J.A., Franco-Sierra N.D., Flórez-Sánchez A.C., Gómez-Rangel S., Rodríguez-Calderon L.D., Barbosa-Ramirez J., Ospitia-Baez E., Walteros D.M., Ospina-Martinez M.L., Mercado-Reyes M.
Egger M., Bundschuh C., Wiesinger K., Gabriel C., Clodi M., Mueller T., Dieplinger B.,	Egger M., Bundschuh C., Wiesinger K., Gabriel C., Clodi M., Mueller T., Dieplinger B.
Duc Ha H., Minh Duc N., Minh Thong P.,	Duc Ha H., Minh Duc N., Minh Thong P.
Kumar M., Kuroda K., Dhangar K.,	Kumar M., Kuroda K., Dhangar K.
Dinka H., Milkesa A.,	Dinka H., Milkesa A.
Poe F.L., Corn J.,	Poe F.L., Corn J.
Lokman S.M., Rasheduzzaman M., Salauddin A., Barua R., Tanzina A.Y., Rumi M.H., Hossain M.I., Siddiki A.M.A.M.Z., Mannan A., Hasan M.M.,	Lokman S.M., Rasheduzzaman M., Salauddin A., Barua R., Tanzina A.Y., Rumi M.H., Hossain M.I., Siddiki A.M.A.M.Z., Mannan A., Hasan M.M.
Wang M., Fu T., Hao J., Li L., Tian M., Jin N., Ren L., Li C.,	Wang M., Fu T., Hao J., Li L., Tian M., Jin N., Ren L., Li C.
Esposito D., Mehalko J., Drew M., Snead K., Wall V., Taylor T., Frank P., Denson J.-P., Hong M., Gulten G., Sadtler K., Messing S., Gillette W.,	Esposito D., Mehalko J., Drew M., Snead K., Wall V., Taylor T., Frank P., Denson J.-P., Hong M., Gulten G., Sadtler K., Messing S., Gillette W.
Sheikh J.A., Singh J., Singh H., Jamal S., Khubaib M., Kohli S., Dobrindt U., Rahman S.A., Ehtesham N.Z., Hasnain S.E.,	Sheikh J.A., Singh J., Singh H., Jamal S., Khubaib M., Kohli S., Dobrindt U., Rahman S.A., Ehtesham N.Z., Hasnain S.E.
Tabibzadeh A., Zamani F., Laali A., Esghaei M., Safarnezhad Tameshkel F., Keyvani H., Jamshidi Makiani M., Panahi M., Motamed N., Perumal D., Khoonsari M., Ajdarkosh H., Sohrabi M., Ghanbari B., Savaj S., Mosavi-Jarrahi A., Karbalaie Niya M.H.,	Tabibzadeh A., Zamani F., Laali A., Esghaei M., Safarnezhad Tameshkel F., Keyvani H., Jamshidi Makiani M., Panahi M., Motamed N., Perumal D., Khoonsari M., Ajdarkosh H., Sohrabi M., Ghanbari B., Savaj S., Mosavi-Jarrahi A., Karbalaie Niya M.H.
Tian B., Gao F., Fock J., Dufva M., Hansen M.F.,	Tian B., Gao F., Fock J., Dufva M., Hansen M.F.
Plebani M., Padoan A., Negrini D., Carpinteri B., Sciacovelli L.,	Plebani M., Padoan A., Negrini D., Carpinteri B., Sciacovelli L.
Behzad S., Aghaghazvini L., Radmard A.R., Gholamrezanezhad A.,	Behzad S., Aghaghazvini L., Radmard A.R., Gholamrezanezhad A.
Abeygunasekera A., Jayasinghe S.,	Abeygunasekera A., Jayasinghe S.
Ognibene A., Lorubbio M., Magliocca P., Tripodo E., Vaggelli G., Iannelli G., Feri M., Scala R., Tartaglia A.P., Galano A., Pancrazzi A., Tacconi D.,	Ognibene A., Lorubbio M., Magliocca P., Tripodo E., Vaggelli G., Iannelli G., Feri M., Scala R., Tartaglia A.P., Galano A., Pancrazzi A., Tacconi D.
Naik B., Gupta N., Ojha R., Singh S., Prajapati V.K., Prusty D.,	Naik B., Gupta N., Ojha R., Singh S., Prajapati V.K., Prusty D.
Niazkar M., Niazkar H.R.,	Niazkar M., Niazkar H.R.
Hossri S., Shadi M., Hamarsha Z., Schneider R., El-Sayegh D.,	Hossri S., Shadi M., Hamarsha Z., Schneider R., El-Sayegh D.
Alpalhão M., Ferreira J.A., Filipe P.,	Alpalhão M., Ferreira J.A., Filipe P.
Rofeal M., El-Malek F.A.,	Rofeal M., El-Malek F.A.
Badran Z., Gaudin A., Struillou X., Amador G., Soueidan A.,	Badran Z., Gaudin A., Struillou X., Amador G., Soueidan A.
Hoang B.X., Hoang H.Q., Han B.,	Hoang B.X., Hoang H.Q., Han B.
Yin W., Zhang P.L.,	Yin W., Zhang P.L.
Yaqinuddin A., Kashir J.,	Yaqinuddin A., Kashir J.
Annweiler C., Cao Z., Sabatier J.-M.,	Annweiler C., Cao Z., Sabatier J.-M.
Pindiprolu S.K.S.S., Kumar C.S.P., Kumar Golla V.S., Likitha P., K S.C., Esub Basha S.K., Ramachandra R.K.,	Pindiprolu S.K.S.S., Kumar C.S.P., Kumar Golla V.S., Likitha P., K S.C., Esub Basha S.K., Ramachandra R.K.
Cui F., Zhou H.S.,	Cui F., Zhou H.S.
Sironi M., Hasnain S.E., Rosenthal B., Phan T., Luciani F., Shaw M.-A., Sallum M.A., Mirhashemi M.E., Morand S., González-Candelas F., on behalf of the Editors of Infection, Genetics and Evolution,	Sironi M., Hasnain S.E., Rosenthal B., Phan T., Luciani F., Shaw M.-A., Sallum M.A., Mirhashemi M.E., Morand S., González-Candelas F., on behalf of the Editors of Infection, Genetics and Evolution
Nicolau L.A.D., Magalhães P.J.C., Vale M.L.,	Nicolau L.A.D., Magalhães P.J.C., Vale M.L.
Rugani B., Caro D.,	Rugani B., Caro D.
Aleebrahim-Dehkordi E., Reyhanian A., Saberianpour S., Hasanpour-Dehkordi A.,	Aleebrahim-Dehkordi E., Reyhanian A., Saberianpour S., Hasanpour-Dehkordi A.
Micarelli D., Moccia F., Costantini S., Feriozzi S.,	Micarelli D., Moccia F., Costantini S., Feriozzi S.
Jacobs J.J.L.,	Jacobs J.J.L.
Gigante A., Aquili A., Farinelli L., Caraffa A., Ronconi G., Enrica Gallenga C., Tetè G., Kritas S.K., Conti P.,	Gigante A., Aquili A., Farinelli L., Caraffa A., Ronconi G., Enrica Gallenga C., Tetè G., Kritas S.K., Conti P.
Biswas S.K., Mudi S.R.,	Biswas S.K., Mudi S.R.
Kieliszek M., Lipinski B.,	Kieliszek M., Lipinski B.
Szarpak L., Drozd A., Smereka J.,	Szarpak L., Drozd A., Smereka J.
Elkoundi A., Jaafari A., Ababou M., Boubekri A., Baite A., Bensghir M.,	Elkoundi A., Jaafari A., Ababou M., Boubekri A., Baite A., Bensghir M.
Le Bon S.D., Horoi M.,	Le Bon S.D., Horoi M.
Almerie M.Q., Kerrigan D.D.,	Almerie M.Q., Kerrigan D.D.
Athari S.Z., Mohajeri D., Nourazar M.A., Doustar Y.,	Athari S.Z., Mohajeri D., Nourazar M.A., Doustar Y.
Sangiorgio V., Parisi F.,	Sangiorgio V., Parisi F.
Izaguirre-Torres D., Siche R.,	Izaguirre-Torres D., Siche R.
La Rosa G., Iaconelli M., Mancini P., Bonanno Ferraro G., Veneri C., Bonadonna L., Lucentini L., Suffredini E.,	La Rosa G., Iaconelli M., Mancini P., Bonanno Ferraro G., Veneri C., Bonadonna L., Lucentini L., Suffredini E.
Huang Z., Huang J., Gu Q., Du P., Liang H., Dong Q.,	Huang Z., Huang J., Gu Q., Du P., Liang H., Dong Q.
Braga F., Scarpa G.M., Brando V.E., Manfè G., Zaggia L.,	Braga F., Scarpa G.M., Brando V.E., Manfè G., Zaggia L.
Daughton C.G.,	Daughton C.G.
Huang Z., Tian D., Liu Y., Lin Z., Lyon C.J., Lai W., Fusco D., Drouin A., Yin X., Hu T., Ning B.,	Huang Z., Tian D., Liu Y., Lin Z., Lyon C.J., Lai W., Fusco D., Drouin A., Yin X., Hu T., Ning B.
Méndez-Arriaga F.,	Méndez-Arriaga F.
Saheb Sharif-Askari N., Saheb Sharif-Askari F., Alabed M., Temsah M.-H., Al Heialy S., Hamid Q., Halwani R.,	Saheb Sharif-Askari N., Saheb Sharif-Askari F., Alabed M., Temsah M.-H., Al Heialy S., Hamid Q., Halwani R.
Kumar M., Taki K., Gahlot R., Sharma A., Dhangar K.,	Kumar M., Taki K., Gahlot R., Sharma A., Dhangar K.
Dixon L., Varley J., Gontsarova A., Mallon D., Tona F., Muir D., Luqmani A., Jenkins I.H., Nicholas R., Jones B., Everitt A.,	Dixon L., Varley J., Gontsarova A., Mallon D., Tona F., Muir D., Luqmani A., Jenkins I.H., Nicholas R., Jones B., Everitt A.
Abd El-Aziz T.M., Stockand J.D.,	Abd El-Aziz T.M., Stockand J.D.
Navel V., Chiambaretta F., Dutheil F.,	Navel V., Chiambaretta F., Dutheil F.
Yuan S., Chan J.F.W., Chik K.K.H., Chan C.C.Y., Tsang J.O.L., Liang R., Cao J., Tang K., Chen L.-L., Wen K., Cai J.-P., Ye Z.-W., Lu G., Chu H., Jin D.-Y., Yuen K.-Y.,	Yuan S., Chan J.F.W., Chik K.K.H., Chan C.C.Y., Tsang J.O.L., Liang R., Cao J., Tang K., Chen L.-L., Wen K., Cai J.-P., Ye Z.-W., Lu G., Chu H., Jin D.-Y., Yuen K.-Y.
Amoatey P., Omidvarborna H., Baawain M.S., Al-Mamun A.,	Amoatey P., Omidvarborna H., Baawain M.S., Al-Mamun A.
Aguirre C., Meca-Lallana V., Barrios-Blandino A., del Río B., Vivancos J.,	Aguirre C., Meca-Lallana V., Barrios-Blandino A., del Río B., Vivancos J.
Abboud H., Zheng C., Kar I., Chen C.K., Sau C., Serra A.,	Abboud H., Zheng C., Kar I., Chen C.K., Sau C., Serra A.
Derwand R., Scholz M.,	Derwand R., Scholz M.
Patel N.A.,	Patel N.A.
Lotfi M., Hamblin M.R., Rezaei N.,	Lotfi M., Hamblin M.R., Rezaei N.
Emara K., Emara A.K., Farhan M., Mahmoud S.,	Emara K., Emara A.K., Farhan M., Mahmoud S.
Franklin A.B., Bevins S.N.,	Franklin A.B., Bevins S.N.
Post A., Dullaart R.P.F., Bakker S.J.L.,	Post A., Dullaart R.P.F., Bakker S.J.L.
Chiesa-Estomba C.M., Lechien J.R., Calvo-Henríquez C., Fakhry N., Karkos P.D., Peer S., Sistiaga-Suarez J.A., Gónzalez-García J.A., Cammaroto G., Mayo-Yánez M., Parente-Arias P., Saussez S., Ayad T.,	Chiesa-Estomba C.M., Lechien J.R., Calvo-Henríquez C., Fakhry N., Karkos P.D., Peer S., Sistiaga-Suarez J.A., Gónzalez-García J.A., Cammaroto G., Mayo-Yánez M., Parente-Arias P., Saussez S., Ayad T.
Bouchnita A., Jebrane A.,	Bouchnita A., Jebrane A.
Swapnarekha H., Behera H.S., Nayak J., Naik B.,	Swapnarekha H., Behera H.S., Nayak J., Naik B.
Pandey A., Nikam A.N., Shreya A.B., Mutalik S.P., Gopalan D., Kulkarni S., Padya B.S., Fernandes G., Mutalik S., Prassl R.,	Pandey A., Nikam A.N., Shreya A.B., Mutalik S.P., Gopalan D., Kulkarni S., Padya B.S., Fernandes G., Mutalik S., Prassl R.
Saheb Sharif-Askari N., Saheb Sharif-Askari F., Al Heialy S., Hamoudi R., Kashour T., Hamid Q., Halwani R.,	Saheb Sharif-Askari N., Saheb Sharif-Askari F., Al Heialy S., Hamoudi R., Kashour T., Hamid Q., Halwani R.
Correia A.O., Feitosa P.W.G., Moreira J.L.D.S., Nogueira S.Á.R., Fonseca R.B., Nobre M.E.P.,	Correia A.O., Feitosa P.W.G., Moreira J.L.D.S., Nogueira S.Á.R., Fonseca R.B., Nobre M.E.P.
van Dorp L., Acman M., Richard D., Shaw L.P., Ford C.E., Ormond L., Owen C.J., Pang J., Tan C.C.S., Boshier F.A.T., Ortiz A.T., Balloux F.,	van Dorp L., Acman M., Richard D., Shaw L.P., Ford C.E., Ormond L., Owen C.J., Pang J., Tan C.C.S., Boshier F.A.T., Ortiz A.T., Balloux F.
Banu N., Panikar S.S., Leal L.R., Leal A.R.,	Banu N., Panikar S.S., Leal L.R., Leal A.R.
Setti L., Passarini F., De Gennaro G., Barbieri P., Perrone M.G., Borelli M., Palmisani J., Di Gilio A., Torboli V., Fontana F., Clemente L., Pallavicini A., Ruscio M., Piscitelli P., Miani A.,	Setti L., Passarini F., De Gennaro G., Barbieri P., Perrone M.G., Borelli M., Palmisani J., Di Gilio A., Torboli V., Fontana F., Clemente L., Pallavicini A., Ruscio M., Piscitelli P., Miani A.
Feng Y., Marchal T., Sperry T., Yi H.,	Feng Y., Marchal T., Sperry T., Yi H.
An P.-J., Zhu Y.Z., Yang L.-P.,	An P.-J., Zhu Y.Z., Yang L.-P.
Russo V., Di Maio M., Attena E., Silverio A., Scudiero F., Celentani D., Lodigiani C., Di Micco P.,	Russo V., Di Maio M., Attena E., Silverio A., Scudiero F., Celentani D., Lodigiani C., Di Micco P.
Singh A.K., Singh R.,	Singh A.K., Singh R.
