Title,Link
"Prevention tools in endoscopy suites during the covid-19 pandemic [Herramientas de prevención en las unidades de endoscopia digestiva en época de pandemia]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086338401&doi=10.22516%2f25007440.536&partnerID=40&md5=1847b58f3a252c2a690378b4c9bee892"
"Stock markets’ reaction to COVID-19: Cases or fatalities?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085392753&doi=10.1016%2fj.ribaf.2020.101249&partnerID=40&md5=cbfb3d466660d5c3450d60077f70ccb4"
"Could preventing thromboembolism be a new hope for COVID-19 patients?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085509165&doi=10.29333%2fejgm%2f8244&partnerID=40&md5=f3852d8c175ce5b976b26e25bc1859e3"
"The role of the orthopaedic surgeon in the COVID-19 era: cautions and perspectives","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085525629&doi=10.1186%2fs40634-020-00255-5&partnerID=40&md5=62733f14332540b16072ef0a64729cca"
"Gastrointestinal symptoms in COVID-19 and its implications in inflammatory bowel disease [Síntomas gastrointestinales en la enfermedad por COVID-19 y sus implicaciones en la enfermedad inflamatoria intestinal]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086325614&doi=10.22516%2f25007440.532&partnerID=40&md5=7b2136a046a88b3f607bfeef2c89b8b5"
"Mathematic modeling of COVID-19 in the United States","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272328&doi=10.1080%2f22221751.2020.1760146&partnerID=40&md5=ffd3c89c42d4917f99dcaa917e56d97b"
"Designing of improved drugs for COVID-19: Crystal structure of SARS-CoV-2 main protease Mpro","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084438050&doi=10.1038%2fs41392-020-0178-y&partnerID=40&md5=9e977458798c80a035e67ba95a6d50d9"
"COVID-19 Disease Map, building a computational repository of SARS-CoV-2 virus-host interaction mechanisms","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084241090&doi=10.1038%2fs41597-020-0477-8&partnerID=40&md5=74281b0ca0322212e3f6e967ab0eae11"
"Sonographic signs and patterns of COVID-19 pneumonia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083682263&doi=10.1186%2fs13089-020-00171-w&partnerID=40&md5=c4b76729c46bb8d1afeba1e72f282460"
"Clinical characteristics of foreign-imported COVID-19 cases in Shanghai, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086297761&doi=10.1080%2f22221751.2020.1766383&partnerID=40&md5=345895c74b7df62089c13cce23c359fe"
"Immune cell profiling of COVID-19 patients in the recovery stage by single-cell sequencing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084197208&doi=10.1038%2fs41421-020-0168-9&partnerID=40&md5=adc4686d2f1035d58949d4ac3effc7b2"
"BCG is a good immunotherapeutic agent for viral and autoimmune diseases: Is it a new weapon against coronavirus (COVID-19)?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583169&doi=10.29333%2fejgm%2f7892&partnerID=40&md5=419f328c47a793519642d00d4dd03d03"
"Low cost devices to reduce aerosol effect during upper gastrointestinal endoscopy in COVID-19 [Dispositivo de bajo costo para disminuir el efecto de aerosol durante la endoscopia de vías digestivas altas en COVID-19]","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086318690&doi=10.22516%2f25007440.552&partnerID=40&md5=9f036bc862254831e27b8a9384fce8fd"
"The science of social distancing and total lock down: Does it work? whom does it benefit?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530684&doi=10.29333%2fejgm%2f7895&partnerID=40&md5=26f942a19d4e094aa19e46d84b143565"
"Certainty of success: three critical parameters in coronavirus vaccine development","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471844&doi=10.1038%2fs41541-020-0193-6&partnerID=40&md5=71817327ed4cb3ec4d5caf560d4a0973"
"Phase-adjusted estimation of the number of Coronavirus Disease 2019 cases in Wuhan, China","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079799485&doi=10.1038%2fs41421-020-0148-0&partnerID=40&md5=0725368d73311c24c1244cd58bb3861a"
"Is hesperidin essential for prophylaxis and treatment of COVID-19 Infection?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086086732&doi=10.1016%2fj.mehy.2020.109957&partnerID=40&md5=545e96e281937e19d46f66a64f963ac9"
"Could autism spectrum disorders be a risk factor for COVID-19?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085689711&doi=10.1016%2fj.mehy.2020.109899&partnerID=40&md5=8acc8f6d1ea31f2d946f22c3e5179404"
"Intra-abdominal hypertension as a trigger of “gut failure” in SARS-CoV-2 infection: Effect of open abdomen (OA) and negative pressure therapy (NPT) on respiratory and gastrointestinal (GI) function","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086084585&doi=10.1016%2fj.mehy.2020.109954&partnerID=40&md5=b0f7c709c4d12e87bf95c1be260f83f8"
"Hydrogen peroxide and viral infections: A literature review with research hypothesis definition in relation to the current covid-19 pandemic","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085765074&doi=10.1016%2fj.mehy.2020.109910&partnerID=40&md5=21db38d2fff472f16362a79721eae628"
"Nebulized Lidocaine in COVID-19, An Hypothesis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085743337&doi=10.1016%2fj.mehy.2020.109947&partnerID=40&md5=868a83dd94fa0f0ad0824ef97df888a5"
"Coronavirus disease 2019 (COVID-19) pandemic: Review of guidelines for resuming non-urgent imaging and procedures in radiology during Phase II","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085842588&doi=10.1016%2fj.clinimag.2020.05.032&partnerID=40&md5=a095544b341b667682b0523bbc83fbce"
"B-cell engineering: A promising approach towards vaccine development for COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085964919&doi=10.1016%2fj.mehy.2020.109948&partnerID=40&md5=c515bfee8bcb89b7e091b3230638e29d"
"Diacerein: A potential multi-target therapeutic drug for COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086177032&doi=10.1016%2fj.mehy.2020.109920&partnerID=40&md5=2227a093c335149b514ba6244ca7acdb"
"Potential role of zinc supplementation in prophylaxis and treatment of COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085881835&doi=10.1016%2fj.mehy.2020.109848&partnerID=40&md5=d211684a921a9873cf826ea91901d508"
"A chilblain epidemic during the COVID-19 pandemic. A sign of natural resistance to SARS-CoV-2?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086099330&doi=10.1016%2fj.mehy.2020.109959&partnerID=40&md5=fad9051f2ee88a17c0e55e4ced610108"
"Pharmacotherapy for reducing saliva and droplet production in airborne procedures may help to decrease the COVID-19 transmission: A hypothesis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086175715&doi=10.1016%2fj.mehy.2020.109874&partnerID=40&md5=6edfb9d5ea08136189f7797fab405a41"
"Has the chief complaint of patients with COVID-19 disease changed over time?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086155570&doi=10.1016%2fj.mehy.2020.109974&partnerID=40&md5=99713184d5088ab071f52a66e2afae00"
"Impact of the Covid-19 pandemic and lung transplantation program in France","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085397529&doi=10.1016%2fj.resmer.2020.100758&partnerID=40&md5=a3e9e053bcbea26e5d08a5da131fae45"
"Venous thromboembolism and COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085374318&doi=10.1016%2fj.resmer.2020.100759&partnerID=40&md5=f0e18ee3db6fd5fbb3a886988f2e0ff2"
"COVID-19-related complications and decompression illness share main features.: Could the SARS-CoV2-related complications rely on blood foaming?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085977122&doi=10.1016%2fj.mehy.2020.109918&partnerID=40&md5=55217bb6d16092d3ab8e138fa02c6acd"
"The effects of allium sativum on immunity within the scope of COVID-19 infection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085770410&doi=10.1016%2fj.mehy.2020.109934&partnerID=40&md5=9b31edb4fa94320c3030f441bcb6f144"
"Association of COVID-19 pandemic with meteorological parameters over Singapore","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086314909&doi=10.1016%2fj.scitotenv.2020.140112&partnerID=40&md5=869a9fe866c973bffb85d2f5b57dbadd"
"Evaluation of coronavirus families & COVID-19 proteins: Molecular modeling study","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085601488&doi=10.33263%2fBRIAC105.60396057&partnerID=40&md5=2845d1c2d745903dbf6b631b456504eb"
"Assessing the relationship between surface levels of PM2.5 and PM10 particulate matter impact on COVID-19 in Milan, Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085841612&doi=10.1016%2fj.scitotenv.2020.139825&partnerID=40&md5=b9d7d9a8e1bc465a8b8debe83f75d721"
"Expression of angiotensin-converting enzyme 2 and proteases in COVID-19 patients: A potential role of cellular FURIN in the pathogenesis of SARS-CoV-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085940318&doi=10.1016%2fj.mehy.2020.109893&partnerID=40&md5=7f4840f102ffd476b064af11c81c4681"
"Molecular analysis of several in-house rRT-PCR protocols for SARS-CoV-2 detection in the context of genetic variability of the virus in Colombia","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085918712&doi=10.1016%2fj.meegid.2020.104390&partnerID=40&md5=671bd8d33a7dea10eef22e95dc0c8eba"
"Comparison of the Elecsys® Anti-SARS-CoV-2 immunoassay with the EDI™ enzyme linked immunosorbent assays for the detection of SARS-CoV-2 antibodies in human plasma","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086001510&doi=10.1016%2fj.cca.2020.05.049&partnerID=40&md5=4125c3e40bf2cd69508d15eab626d264"
"The current update of vaccines for SARS-COV-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085493059&doi=10.29333%2fejgm%2f8233&partnerID=40&md5=7918e5d6b99816d1f1747d543a499397"
"The most eagerly awaited summer of the Anthropocene: A perspective of SARS-CoV-2 decay and seasonal change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083516746&doi=10.1016%2fj.gsd.2020.100400&partnerID=40&md5=c289261870efcdcfddaad55e3b76a475"
"Unfolding SARS-CoV-2 viral genome to understand its gene expression regulation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086134809&doi=10.1016%2fj.meegid.2020.104386&partnerID=40&md5=01cecee98ee7e407ec6a3c048cc75c64"
"N-Acetylcysteine: A potential therapeutic agent for SARS-CoV-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085761132&doi=10.1016%2fj.mehy.2020.109862&partnerID=40&md5=9e471f758b8d455a11fe1102bdb485bb"
"Exploring the genomic and proteomic variations of SARS-CoV-2 spike glycoprotein: A computational biology approach","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086161556&doi=10.1016%2fj.meegid.2020.104389&partnerID=40&md5=5aa4cf39f455004877e32bbee22071ce"
"A recombinant Lactobacillus plantarum strain expressing the spike protein of SARS-CoV-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085985598&doi=10.1016%2fj.ijbiomac.2020.05.239&partnerID=40&md5=0c2a386aa36955d0d4da42dec94110c3"
"Optimizing high-yield production of SARS-CoV-2 soluble spike trimers for serology assays","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085910799&doi=10.1016%2fj.pep.2020.105686&partnerID=40&md5=8ab8e1c42348dbe2326b84e07e0d896e"
"Emerging genetic diversity among clinical isolates of SARS-CoV-2: Lessons for today","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084617732&doi=10.1016%2fj.meegid.2020.104330&partnerID=40&md5=03dcce739ca4bdfc434055c8d124ad10"
"SARS-CoV-2 Molecular and Phylogenetic analysis in COVID-19 patients: A preliminary report from Iran","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085772742&doi=10.1016%2fj.meegid.2020.104387&partnerID=40&md5=f06e1a8c7e823eb6cb41e008b836917e"
"Homogeneous circle-to-circle amplification for real-time optomagnetic detection of SARS-CoV-2 RdRp coding sequence","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085971703&doi=10.1016%2fj.bios.2020.112356&partnerID=40&md5=5698882f5f6fc776faa3ed6fecbb5bbb"
"Diagnostic performances and thresholds: The key to harmonization in serological SARS-CoV-2 assays?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086109230&doi=10.1016%2fj.cca.2020.05.050&partnerID=40&md5=5dfa61bbbdc928e87911e15025d2681d"
"Extrapulmonary manifestations of COVID-19: Radiologic and clinical overview","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084793390&doi=10.1016%2fj.clinimag.2020.05.013&partnerID=40&md5=da0b4edb0a199041f701b7a0d95370f0"
"Is the anti-filarial drug diethylcarbamazine useful to treat COVID-19?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085471808&doi=10.1016%2fj.mehy.2020.109843&partnerID=40&md5=e97c420b21868daf8a8960392c82ec66"
"Elevated monocyte distribution width in COVID-19 patients: The contribution of the novel sepsis indicator","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085919268&doi=10.1016%2fj.cca.2020.06.002&partnerID=40&md5=9fce4cdd91222662b1756de083e5081b"
"High throughput virtual screening reveals SARS-CoV-2 multi-target binding natural compounds to lead instant therapy for COVID-19 treatment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085304655&doi=10.1016%2fj.ijbiomac.2020.05.184&partnerID=40&md5=b94134fe49cccad6307632d4c10cb4df"
"COVID-19 outbreak: Application of multi-gene genetic programming to country-based prediction models","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085529838&doi=10.29333%2fejgm%2f8232&partnerID=40&md5=b2dbb625271973aaf361d4745b79b597"
"Clinically significant anticardiolipin antibodies associated with COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085763789&doi=10.1016%2fj.jcrc.2020.05.017&partnerID=40&md5=5f0acedbe802cb197054cc3f3bb7395f"
"Persistent SARS-CoV-2 infection and the risk for cancer","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583076&doi=10.1016%2fj.mehy.2020.109882&partnerID=40&md5=2f2fd73476c920b1a81d75f11e2b1248"
"Ribosomal proteins as a possible tool for blocking SARS-COV 2 virus replication for a potential prospective treatment","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085692895&doi=10.1016%2fj.mehy.2020.109904&partnerID=40&md5=a7508617fd10f6f07d0d6290b0d6d08f"
"Periodontal pockets: A potential reservoir for SARS-CoV-2?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085770789&doi=10.1016%2fj.mehy.2020.109907&partnerID=40&md5=72d2f937e34cfd1307645a780a543b42"
"Zinc Iodide in combination with Dimethyl Sulfoxide for treatment of SARS-CoV-2 and other viral infections","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085287139&doi=10.1016%2fj.mehy.2020.109866&partnerID=40&md5=d03a405107d66e359595d958a5a9f678"
"Infectious pathways of SARS-cov-2 in renal tissue","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085283096&doi=10.34172%2fjnp.2020.37&partnerID=40&md5=e762662ac519663af1a52ee9f2bd7113"
"Novel therapeutic targets for SARS-CoV-2-induced acute lung injury: Targeting a potential IL-1β/neutrophil extracellular traps feedback loop","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085762116&doi=10.1016%2fj.mehy.2020.109906&partnerID=40&md5=7042cd459d95d9584cd296592e4225d6"
"Point of view: Should COVID-19 patients be supplemented with vitamin D?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086147920&doi=10.1016%2fj.maturitas.2020.06.003&partnerID=40&md5=fe8f85a79bb219bd759a2f3a0807c0d6"
"Pulmonary delivery of nanostructured lipid carriers for effective repurposing of salinomycin as an antiviral agent","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085978505&doi=10.1016%2fj.mehy.2020.109858&partnerID=40&md5=a26e4860797672d7eb81070f64344065"
"Diagnostic methods and potential portable biosensors for coronavirus disease 2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085840324&doi=10.1016%2fj.bios.2020.112349&partnerID=40&md5=08ad63a06f288590dfa9efef24819ab6"
"SARS-CoV-2 and COVID-19: A genetic, epidemiological, and evolutionary perspective","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085758837&doi=10.1016%2fj.meegid.2020.104384&partnerID=40&md5=350a72c64d78dc304d80457cb55f0050"
"What would Sérgio Ferreira say to your physician in this war against COVID-19: How about kallikrein/kinin system?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085742562&doi=10.1016%2fj.mehy.2020.109886&partnerID=40&md5=c94066c2d43c6b73a4c29112819980f5"
"Impact of COVID-19 outbreak measures of lockdown on the Italian Carbon Footprint","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085562769&doi=10.1016%2fj.scitotenv.2020.139806&partnerID=40&md5=2cce70ff7175887b434146a38e9e8c7b"
"Acute kidney injury in COVID-19; A review on current knowledge","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085285064&doi=10.34172%2fjnp.2020.31&partnerID=40&md5=74b1007c244d0e70a83688220b9136fc"
"COVID-19 is a complex disease with wide spectrum of clinical patterns and an emerging problem for nephrologist","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085253684&doi=10.34172%2fjnp.2020.33&partnerID=40&md5=e48b3fa1e2136aef1f83e0c5a59b1512"
"Neutralizing antibodies mediate virus-immune pathology of COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085929650&doi=10.1016%2fj.mehy.2020.109884&partnerID=40&md5=ec0019ea725a5449aba033eaea61cafa"
"Sodium chromo-glycate and palmitoylethanolamide: A possible strategy to treat mast cell-induced lung inflammation in COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085163444&doi=10.1016%2fj.mehy.2020.109856&partnerID=40&md5=24d9c9ec5684e79f75e1f9b825e09e1a"
"Genetic variation in SARS-CoV-2 may explain variable severity of COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085296023&doi=10.1016%2fj.mehy.2020.109877&partnerID=40&md5=3c3b3a8ef6db875cad31aad649ee4b0d"
"Selenium supplementation in the prevention of coronavirus infections (COVID-19)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085176477&doi=10.1016%2fj.mehy.2020.109878&partnerID=40&md5=66d2f1249c1ae21e70d85e425736428d"
"Airway management and ventilation principles in COVID-19 patients","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084861488&doi=10.1016%2fj.jclinane.2020.109877&partnerID=40&md5=8eefb7066e8f05c7b45ed2010000fec5"
"Preoperative assessment organization in the time of the outbreak COVID-19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084843537&doi=10.1016%2fj.jclinane.2020.109882&partnerID=40&md5=8c4cc48d101de9d39c6f272860e61c9d"
"Is anosmia the price to pay in an immune-induced scorched-earth policy against COVID-19?","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085368269&doi=10.1016%2fj.mehy.2020.109881&partnerID=40&md5=f78a7e6a183ef1344e66b5312fbea832"
"The association between obesity and poor outcome after COVID-19 indicates a potential therapeutic role for montelukast","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085583669&doi=10.1016%2fj.mehy.2020.109883&partnerID=40&md5=11985f85ba4954dc318d23c914db568a"
"Updates on coronavirus (COVID-19) and kidney","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085281896&doi=10.34172%2fjnp.2020.34&partnerID=40&md5=f3ab59dc6213ca4dd06f88d715d84a50"
"A multicriteria approach for risk assessment of Covid-19 in urban district lockdown","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086079142&doi=10.1016%2fj.ssci.2020.104862&partnerID=40&md5=37cc194879961ae26b6053d76cd15df3"
"Covid-19 disease will cause a global catastrophe in terms of mental health: A hypothesis","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084844722&doi=10.1016%2fj.mehy.2020.109846&partnerID=40&md5=29fabe6b8f082adfd2c606b21e6f32ba"
"First detection of SARS-CoV-2 in untreated wastewaters in Italy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084959240&doi=10.1016%2fj.scitotenv.2020.139652&partnerID=40&md5=36d96a43293fbb09e250b00b23241b90"
